Area to improve,Suggested improvement,Priority (1-10),Notes
Brand and leadership consistency,"Align the public story across the site. The homepage references Mike Kinsey while the team page centers Martin Faith and Scottish Window Tinting. Pick one brand narrative and one leadership structure, then update homepage, about, schema, and testimonials to match.",10,
Broken social links,Replace footer placeholder social links that currently point to # with real profile URLs or remove them until the profiles are ready. Broken trust links hurt credibility and accessibility.,9,
Mobile menu dropdown clipping,"Adjust the mobile navigation dropdown styling so the first submenu item is not visibly clipped behind the top-level menu item background. Right now the top of the first dropdown label shows through, which makes the mobile menu look broken and unfinished.",7,
Zoho integration gap,"Connect the lead form flow to Zoho so inquiries are captured in the CRM automatically instead of relying only on a direct FormSubmit email post. This should include field mapping, lead-source tagging, and confirmation that submissions create usable Zoho records.",8,redesign footer so form on every page
Sitemap path hygiene,Publish a working /sitemap.xml or 301-redirect it to /sitemap-index.xml so the conventional sitemap URL resolves cleanly for crawlers and audit tools.,8,
404 page indexing rules,"Add noindex to the custom 404 template. The page returns a 404 HTTP status, but the template advertises index,follow in meta robots, which creates mixed crawl signals.",8,
Homepage trust metrics,"Render the hero statistics server-side instead of exposing zero values to crawlers or no-JS contexts. Search and AI systems should read the real years in business, project count, UV block rate, and rating values directly in the HTML.",9,
Structured data depth,"Expand schema beyond LocalBusiness and WebSite. Add Service schema for major service pages, FAQPage where FAQs are visible, and AggregateRating or Review markup where rating claims are shown.",8,
City coverage consistency,"Align the locations listed on the `Cities We Serve` page with the city-name carousel above the footer. Right now the carousel suggests a much broader service footprint while the dedicated `Cities We Serve` page only lists four city pages, which creates a mismatch in local SEO targeting and user expectations.",8,
Image delivery performance,"Remove redundant nested Cloudinary fetch chains and simplify image URLs. At least one homepage image is fetched through Cloudinary twice, which adds avoidable overhead.",7,
Mobile LCP performance,"Reduce mobile Largest Contentful Paint from 7.1 seconds toward under 2.5 seconds by prioritizing above-the-fold media, shrinking heavy hero assets, and deferring non-critical content that competes with the primary viewport render.",9,
Mobile FCP performance,Improve First Contentful Paint from 3.6 seconds toward under 1.8 seconds by reducing render-blocking CSS and font dependencies and by shipping lighter initial assets to mobile users.,8,
Image compression and format modernization,Convert oversized PNG and JPEG assets to compressed WebP or AVIF where appropriate. PageSpeed indicates that assets such as `/images/how-it-works-installation.png` and `/images/logo.png` are materially increasing transfer size and slowing page rendering.,9,
Responsive image sizing,Serve properly sized responsive image variants for mobile instead of delivering source files that are much larger than the rendered slot. This should materially reduce transfer weight and improve mobile load performance.,8,
Explicit image dimensions,"Add explicit `width` and `height` attributes to key images, including the logo and trust-strip brand marks, so the browser can allocate layout space earlier and render more efficiently.",7,
Oversized network payload,"Reduce the total mobile page payload, which PageSpeed reports at roughly 15.3 MB. Heavy media files, especially large third-party video assets, should be deferred, lazy-loaded, replaced, or removed from the initial load path.",9,
Favicon clarity and branding,"Review the current favicon and replace it if needed with a cleaner, brand-correct version that remains recognizable at very small browser-tab sizes. Right now it is either the wrong icon or too small and indistinct to identify confidently.",5,is there a favicon
Image file naming strategy,"Rename key media assets with descriptive, location-aware filenames tied to the page intent, then keep alt text equally specific. This improves media organization and gives better topical context for image search. A large number of current image filenames appear to be AI-generated string patterns rather than human-readable, SEO-oriented asset names.",6,
Homepage title strategy,"Test title-tag variants that balance brand and search intent, such as window film, window tinting, commercial tinting, and security film language, while keeping Philadelphia prominent.",5,
Internal linking strategy,"Add stronger in-body links between core service pages, application pages, city pages, reviews, and pricing resources so authority flows through the pages that should rank first.",6,
About page accordion rendering bug,Fix the `Our Process` accordion on the About page so the `Free Consultation` item no longer exposes visible inline code on the front end. This is a production-quality issue that undermines trust and makes the section look broken.,8,
Social media icon linking,"Update every social media icon so it links to the correct live profile destination, opens cleanly, and matches the business brand. Leaving visible social icons unlinked creates an unfinished user experience and weakens trust signals.",7,
P0 Metadata not standardized,Create one metadata system for all page templates.,4,"Require unique title, meta description, canonical, robots, Open Graph and Twitter metadata for every indexable page."
Schema is not strong enough,Create reusable JSON-LD schema components.,4,"Implement Organization, WebSite, Service, Person/ProfilePage, BlogPosting/Article and BreadcrumbList with stable @id values."
Technical claims need evidence - Add source links next to numeric claims.,,,
"Connect performance percentages, UV, heat, glare, security and ROI claims to manufacturer data, DOE, IWFA, ASTM/GSA or project-specific evidence.",,,
